timestamp,X,Y,Z
1788345178336,-26.400002,-22.500000,-20.118752
1788345178356,-25.106251,-20.587502,-19.762501
1788345178376,-25.350000,-20.400002,-17.775002
1788345178396,-23.137501,-18.187500,-20.025002
1788345178416,-22.275002,-22.106251,-23.437500
1788345178436,-24.825001,-21.225000,-22.162500
1788345178456,-24.337502,-20.437500,-21.750000
1788345178476,-24.356251,-20.418751,-21.450001
1788345178496,-25.050001,-21.937500,-19.818750
1788345178516,-23.512501,-21.375000,-25.968752
1788345178536,-21.112501,-21.993752,-27.712502
1788345178556,-22.518751,-22.668751,-26.775002
1788345178576,-21.450001,-21.037500,-25.031252
1788345178596,-26.381250,-22.087502,-21.375000
1788345178616,-23.550001,-21.956251,-25.312502
1788345178636,-22.668751,-22.818750,-26.625002
1788345178656,-22.575001,-20.550001,-25.556252
1788345178676,-21.262501,-22.143751,-27.862501
1788345178696,-21.075001,-21.431252,-29.456251
1788345178716,-22.443750,-22.200001,-26.043751
1788345178736,-21.712502,-19.556252,-24.675001
1788345178756,-22.912500,-21.000000,-24.900002
1788345178776,-22.293751,-21.431252,-26.100000
1788345178796,-22.293751,-21.431252,-25.781252
1788345178816,-22.368752,-20.437500,-27.712502
1788345178836,-22.012501,-20.493752,-25.237501
1788345178856,-21.543751,-20.212502,-27.393751
1788345178876,-21.018751,-21.787500,-26.043751
1788345178896,-20.906250,-20.287500,-26.437502
1788345178916,-22.218750,-21.750000,-27.000002
1788345178936,-20.268751,-20.381250,-26.268751
1788345178956,-21.937500,-20.812500,-26.137501
1788345178976,-21.675001,-19.162500,-27.150002
1788345178996,-24.281252,-20.118752,-21.468750
1788345179016,-26.981251,-18.975000,-21.000000
1788345179036,-25.200001,-23.081251,-23.137501
1788345179056,-24.843752,-22.687500,-20.531250
1788345179076,-23.625000,-18.993752,-20.456251
1788345179096,-20.962502,-20.793751,-28.256250
1788345179116,-22.443750,-22.200001,-26.043751
1788345179136,-22.125000,-21.900002,-27.131250
1788345179156,-22.875000,-22.068750,-25.912500
1788345179176,-21.450001,-21.412500,-27.618752
1788345179196,-22.725000,-23.137501,-26.906252
1788345179216,-20.193750,-20.081251,-26.287500
1788345179236,-22.856251,-21.056252,-27.356251
1788345179256,-21.356251,-20.775002,-26.418751
1788345179276,-23.043751,-24.656252,-26.812502
1788345179296,-21.356251,-21.187500,-25.481251
1788345179316,-21.600000,-21.806252,-25.275002
1788345179336,-20.137501,-20.812500,-25.931252
1788345179356,-21.450001,-21.037500,-25.331251
1788345179376,-21.937500,-20.793751,-25.818750
1788345179396,-21.468750,-20.343750,-27.225000
1788345179416,-21.000000,-18.900002,-25.162500
1788345179436,-22.312500,-22.012501,-25.443750
1788345179456,-19.781250,-21.825001,-26.156252
1788345179476,-20.043751,-19.312500,-26.343752
1788345179496,-21.993752,-21.112501,-26.100000
1788345179516,-22.800001,-22.218750,-25.743752
1788345179536,-22.631250,-21.450001,-25.800001
1788345179556,-21.900002,-21.693750,-25.912500
1788345179576,-22.875000,-21.037500,-26.287500
1788345179596,-22.556252,-21.543751,-29.475000
1788345179616,-24.168751,-20.306252,-23.137501
1788345179636,-21.843750,-22.181252,-27.112501
1788345179656,-21.450001,-23.493752,-27.168751
1788345179676,-20.437500,-21.731251,-26.025002
1788345179696,-22.312500,-23.006250,-28.593752
1788345179716,-22.800001,-20.137501,-26.512501
1788345179736,-22.443750,-20.325001,-28.631250
1788345179756,-21.862501,-22.162500,-26.343752
1788345179776,-21.468750,-20.981251,-28.106251
1788345179796,-23.268751,-20.343750,-27.112501
1788345179816,-21.637501,-21.712502,-26.981251
1788345179836,-22.275002,-21.450001,-26.868752
1788345179856,-22.612501,-20.006250,-27.900002
1788345179876,-22.106251,-20.268751,-27.862501
1788345179896,-20.606251,-19.987501,-27.225000
1788345179916,-21.281250,-20.287500,-25.837502
1788345179936,-21.450001,-20.006250,-25.406252
1788345179956,-22.050001,-21.000000,-27.356251
1788345179976,-21.150002,-20.493752,-27.825001
1788345179996,-22.350000,-22.968750,-27.525002
1788345180016,-21.637501,-21.093750,-26.400002
1788345180036,-21.150002,-21.337502,-26.062502
1788345180056,-22.218750,-21.131250,-26.418751
1788345180076,-21.412500,-21.693750,-27.281252
1788345180096,-20.418751,-21.150002,-26.681252
1788345180116,-22.500000,-20.850000,-26.137501
1788345180136,-21.787500,-22.293751,-26.175001
1788345180156,-21.281250,-20.906250,-26.250002
1788345180176,-21.412500,-21.693750,-26.981251
1788345180196,-20.025002,-20.981251,-26.831251
1788345180216,-21.618752,-20.493752,-26.756250
1788345180236,-21.131250,-21.356251,-26.831251
1788345180256,-22.350000,-20.100000,-26.193750
1788345180276,-22.593750,-21.506250,-27.637501
1788345180296,-21.787500,-21.262501,-27.018751
1788345180316,-22.012501,-22.312500,-26.175001
