timestamp,X,Y,Z
1788345178393,89.887004,-39.326088,-4.898163
1788345178494,90.069746,-39.345117,-4.679478
1788345178595,90.120337,-39.343218,-4.589836
1788345178696,90.116491,-39.355007,-4.620171
1788345178797,90.184534,-39.348662,-4.602700
1788345178898,90.252849,-39.349048,-4.658373
1788345178998,90.275088,-39.348491,-4.647691
1788345179099,90.268784,-39.342672,-4.663889
1788345179200,90.230146,-39.332078,-4.659663
1788345179301,90.214429,-39.303927,-4.652468
1788345179402,90.194834,-39.285097,-4.642615
1788345179503,90.215830,-39.274612,-4.665987
1788345179604,90.106963,-39.282098,-4.762566
1788345179705,90.111389,-39.299088,-4.651918
1788345179806,90.083679,-39.318199,-4.688349
1788345179906,90.049043,-39.335165,-4.693520
1788345180007,90.053155,-39.396002,-4.745095
1788345180108,90.163599,-39.549189,-4.504789
1788345180209,90.121682,-39.581097,-4.362082
1788345180310,90.004251,-39.592438,-4.435185
1788345180411,90.003602,-39.639939,-4.432929
1788345180512,89.938025,-39.654378,-4.442802
1788345180613,89.779381,-39.617652,-4.550643
1788345180714,89.762701,-39.612830,-4.508511
1788345180814,89.754799,-39.623778,-4.531094
1788345180915,89.770105,-39.607242,-4.543016
1788345181016,89.747914,-39.627853,-4.628330
1788345181117,89.686476,-39.611098,-4.565593
1788345181218,89.692343,-39.599938,-4.546532
1788345181319,89.656198,-39.595932,-4.480161
1788345181420,89.624226,-39.551877,-4.450465
1788345181521,89.491782,-39.540747,-4.703943
1788345181622,89.385381,-39.547550,-4.690282
1788345181722,89.427038,-39.536564,-4.552033
1788345181823,89.399021,-39.553301,-4.588971
1788345181924,89.373353,-39.562313,-4.488546
1788345182025,89.294464,-39.553328,-4.537112
1788345182126,89.279479,-39.580970,-4.543315
1788345182227,89.211655,-39.566900,-4.552663
1788345182328,89.162177,-39.568427,-4.573216
1788345182429,89.167361,-39.613909,-4.594222
1788345182529,89.081035,-39.575086,-4.773796
1788345182630,89.038319,-39.582261,-4.636207
1788345182731,88.954779,-39.562443,-4.674466
1788345182832,88.909535,-39.587117,-4.734395
1788345182933,88.872215,-39.634451,-4.672884
1788345183034,88.797199,-39.670220,-4.754685
1788345183135,88.893368,-39.786924,-4.467537
1788345183236,88.937901,-39.816960,-4.390675
1788345183337,88.847190,-39.803747,-4.374007
1788345183437,88.731151,-39.814484,-4.548723
1788345183538,88.658232,-39.832461,-4.483303
