timestamp,X,Y,Z
1788345178456,-0.003512,-0.010079,-0.001985
1788345178557,0.002291,0.005498,-0.003971
1788345178658,-0.001527,-0.005650,-0.003818
1788345178759,-0.001985,-0.009316,0.002443
1788345178859,0.000916,-0.006872,-0.001374
1788345178960,-0.000764,0.000611,-0.003360
1788345179061,-0.000305,0.000611,-0.003665
1788345179162,-0.005498,-0.000458,0.001374
1788345179263,-0.004276,0.006109,0.001833
1788345179364,-0.000153,-0.001069,0.003207
1788345179465,-0.001374,-0.015119,0.004734
1788345179566,0.004887,0.014050,-0.007178
1788345179666,0.002596,-0.004123,0.001069
1788345179767,0.004429,0.002596,0.000611
1788345179868,0.012065,-0.003665,0.001680
1788345179969,0.023213,0.015882,-0.027489
1788345180070,0.013897,0.023213,-0.002596
1788345180171,0.000611,0.001833,-0.003818
1788345180272,0.002291,-0.015577,-0.001680
1788345180373,0.004887,-0.003665,-0.006414
1788345180474,-0.004276,-0.013439,0.013286
1788345180574,-0.005498,0.012217,-0.000916
1788345180675,0.004123,-0.006720,-0.007483
1788345180776,-0.002443,-0.015119,-0.001527
1788345180877,0.005345,0.005498,-0.006414
1788345180978,-0.001527,-0.004887,-0.000000
1788345181079,-0.005803,0.009468,0.000458
1788345181180,0.000916,0.003207,-0.002443
1788345181281,-0.005192,0.000916,-0.000305
1788345181382,-0.008399,-0.023824,0.012217
1788345181482,0.010385,-0.005650,0.000611
1788345181583,-0.005192,0.026114,-0.006414
1788345181684,0.003818,-0.004429,-0.001374
1788345181785,0.001680,0.003360,-0.001069
1788345181886,-0.002749,0.010079,-0.001680
1788345181987,0.007941,-0.015730,0.003512
1788345182088,-0.004276,-0.001985,-0.000153
1788345182189,0.002291,0.002596,-0.001374
1788345182290,0.001222,-0.009010,-0.000458
1788345182390,0.000000,-0.019700,0.003818
1788345182491,0.001069,0.011759,-0.003512
1788345182592,-0.003818,0.003665,0.003971
1788345182693,0.002138,0.000764,-0.002902
1788345182794,0.005498,-0.010537,0.005650
1788345182895,0.012523,0.013744,0.004123
1788345182996,0.012981,0.027947,-0.017715
1788345183097,0.010996,-0.009468,-0.004887
1788345183198,-0.002443,0.013439,-0.016188
1788345183298,0.005345,-0.016493,0.011301
1788345183399,-0.000916,0.001985,0.007330
1788345183500,0.007025,-0.016341,0.012675
1788345183601,0.008858,0.009621,-0.006872
1788345183702,0.000764,-0.004276,-0.001680
1788345183803,0.005192,-0.007941,-0.002902
1788345183904,-0.003971,-0.005345,-0.002291
1788345184005,-0.002596,0.003054,-0.002596
1788345184105,-0.003360,0.016799,-0.006261
1788345184206,0.000458,-0.003971,0.005803
1788345184307,0.001833,-0.001374,0.000764
1788345184408,-0.000305,0.005803,-0.000000
1788345184509,-0.000611,-0.003054,0.010537
1788345184610,0.003360,0.011454,-0.001222
1788345184711,0.004887,0.000611,0.003971
1788345184812,-0.001680,0.003971,-0.004581
1788345184913,-0.002443,0.002902,0.000916
1788345185013,-0.001222,0.004734,-0.002291
1788345185114,-0.001527,-0.009927,-0.000916
1788345185215,-0.000458,-0.004887,0.005498
1788345185316,-0.002138,0.008094,0.000916
1788345185417,-0.002443,0.014966,-0.004581
1788345185518,-0.006567,-0.018937,0.003818
1788345185619,-0.004276,0.010385,-0.008399
1788345185720,-0.003665,-0.018784,0.009468
1788345185821,0.002902,0.003207,-0.001680
1788345185921,0.000611,-0.004887,0.000458
1788345186022,-0.003665,-0.001985,0.003665
1788345186123,-0.003971,0.008552,-0.009163
1788345186224,0.000611,-0.015577,0.003818
1788345186325,-0.002138,0.004429,-0.001833
1788345186426,-0.000153,0.004581,-0.001833
1788345186527,0.001374,-0.009927,0.001833
1788345186628,0.002596,0.008094,-0.007483
1788345186729,-0.000764,0.000916,-0.004581
1788345186829,-0.003360,0.000305,0.000305
1788345186930,-0.001222,0.005040,0.001222
