timestamp,latitude,longitude,altitude,speed,course,hacc
1788345179000,59.948901,30.365426,32.086,0.000,0.000,13.982
1788345180000,59.948901,30.365426,31.781,0.000,0.000,15.530
1788345181000,59.948901,30.365423,29.952,0.000,0.000,14.747
1788345182000,59.948902,30.365422,29.808,0.000,0.000,14.586
1788345183000,59.948902,30.365422,29.735,0.000,0.000,16.706
1788345182269,59.948882,30.365408,24.400,0.000,0.000,13.828
1788345184000,59.948899,30.365420,29.367,0.000,0.000,12.553
1788345185000,59.948899,30.365420,29.362,0.000,0.000,13.644
1788345186000,59.948902,30.365422,38.301,0.000,0.000,14.255
1788345187000,59.948902,30.365422,38.325,0.000,0.000,16.915
1788345188000,59.948902,30.365422,38.323,0.000,0.000,18.330
1788345187809,59.948865,30.365403,23.900,0.000,0.000,14.696
1788345193434,59.948873,30.365400,24.400,0.000,0.000,14.627
1788345199009,59.948864,30.365409,24.400,0.000,0.000,15.835
1788345201000,59.948895,30.365419,38.302,0.000,0.000,15.459
1788345202000,59.948895,30.365419,38.271,0.000,0.000,15.674
1788345203000,59.948895,30.365419,38.234,0.000,0.000,16.178
1788345204000,59.948895,30.365419,37.652,0.000,0.000,15.883
1788345205000,59.948895,30.365419,37.604,0.000,0.000,16.545
1788345206000,59.948894,30.365418,37.631,0.000,0.000,12.926
1788345207000,59.948894,30.365417,36.806,0.000,0.000,12.789
1788345208000,59.948895,30.365416,37.010,0.000,0.000,12.440
1788345209000,59.948895,30.365417,37.028,0.000,0.000,12.211
1788345210000,59.948896,30.365417,36.273,0.000,0.000,11.854
1788345211000,59.948896,30.365419,37.082,0.000,0.000,11.800
1788345212000,59.948895,30.365416,37.110,0.000,0.000,10.956
1788345213000,59.948896,30.365415,37.827,0.000,0.000,10.931
1788345214000,59.948896,30.365415,37.819,0.000,0.000,11.096
1788345215000,59.948896,30.365415,37.074,0.000,0.000,11.054
1788345216000,59.948896,30.365415,37.075,0.000,0.000,11.097
1788345217000,59.948894,30.365414,36.907,0.000,0.000,10.709
1788345218000,59.948894,30.365414,36.892,0.000,0.000,10.846
1788345219000,59.948894,30.365414,36.806,0.000,0.000,10.801
1788345220000,59.948895,30.365414,36.583,0.000,0.000,11.062
1788345221000,59.948895,30.365414,36.598,0.000,0.000,11.080
1788345222000,59.948894,30.365414,36.320,0.000,0.000,11.134
1788345223000,59.948893,30.365414,35.936,0.000,0.000,10.884
1788345224000,59.948893,30.365414,35.921,0.000,0.000,11.408
1788345225000,59.948893,30.365414,35.940,0.000,0.000,11.617
1788345226000,59.948893,30.365414,35.015,0.000,0.000,12.216
1788345227000,59.948893,30.365414,34.684,0.000,0.000,11.387
1788345228000,59.948893,30.365414,34.712,0.000,0.000,11.248
1788345229000,59.948892,30.365412,34.492,0.000,0.000,10.921
1788345230000,59.948892,30.365412,34.489,0.000,0.000,11.049
1788345231000,59.948892,30.365412,34.616,0.000,0.000,11.299
1788345232000,59.948892,30.365412,34.671,0.000,0.000,11.985
1788345233000,59.948892,30.365412,34.661,0.000,0.000,12.727
1788345234000,59.948891,30.365411,34.240,0.000,0.000,12.488
1788345235000,59.948891,30.365412,34.210,0.000,0.000,12.711
1788345236000,59.948891,30.365412,34.148,0.000,0.000,11.723
1788345237000,59.948891,30.365412,34.202,0.000,0.000,11.663
1788345238000,59.948891,30.365412,34.351,0.000,0.000,11.617
1788345239000,59.948891,30.365412,34.295,0.000,0.000,11.943
1788345240000,59.948890,30.365412,34.322,0.000,0.000,11.270
1788345241000,59.948890,30.365412,34.291,0.000,0.000,11.403
1788345242000,59.948890,30.365412,34.268,0.000,0.000,11.359
1788345243000,59.948890,30.365412,34.040,0.000,0.000,11.477
1788345244000,59.948890,30.365412,34.010,0.000,0.000,11.361
1788345245000,59.948889,30.365411,33.926,0.000,0.000,11.948
1788345246000,59.948889,30.365411,33.645,0.000,0.000,11.611
1788345247000,59.948889,30.365411,33.496,0.000,0.000,11.424
1788345248000,59.948889,30.365411,33.345,0.000,0.000,11.515
1788345249000,59.948889,30.365411,33.263,0.000,0.000,11.426
1788345250000,59.948889,30.365411,33.233,0.000,0.000,11.448
1788345251000,59.948888,30.365411,33.135,0.000,0.000,11.326
1788345252000,59.948888,30.365411,33.117,0.000,0.000,11.370
1788345253000,59.948888,30.365411,33.055,0.000,0.000,11.456
1788345254000,59.948888,30.365411,32.998,0.000,0.000,11.650
1788345255000,59.948888,30.365411,33.053,0.000,0.000,12.097
1788345256000,59.948888,30.365411,33.063,0.000,0.000,12.184
1788345257000,59.948888,30.365411,33.033,0.000,0.000,11.381
1788345258000,59.948888,30.365411,32.968,0.000,0.000,11.882
1788345259000,59.948888,30.365411,32.972,0.000,0.000,12.233
1788345260000,59.948888,30.365411,33.101,0.000,0.000,12.661
1788345261000,59.948888,30.365411,33.094,0.000,0.000,13.113
1788345262000,59.948889,30.365413,33.144,0.000,0.000,13.409
1788345263000,59.948889,30.365413,33.070,0.000,0.000,13.807
1788345264000,59.948889,30.365413,33.112,0.000,0.000,13.767
1788345265000,59.948889,30.365413,32.990,0.000,0.000,13.996
1788345266000,59.948889,30.365413,33.100,0.000,0.000,13.850
1788345267000,59.948889,30.365413,33.097,0.000,0.000,14.065
1788345268000,59.948889,30.365413,33.149,0.000,0.000,13.492
1788345269000,59.948889,30.365413,33.307,0.000,0.000,14.279
1788345270000,59.948889,30.365413,33.307,0.000,0.000,15.279
1788345271000,59.948889,30.365413,33.282,0.000,0.000,15.393
1788345272000,59.948889,30.365413,33.247,0.000,0.000,15.694
1788345273000,59.948888,30.365413,33.189,0.000,0.000,16.290
1788345274000,59.948888,30.365413,33.193,0.000,0.000,15.142
1788345275000,59.948888,30.365413,33.209,0.000,0.000,17.780
1788345276000,59.948888,30.365413,33.213,0.000,0.000,20.007
1788345277000,59.948888,30.365413,33.184,0.000,0.000,20.518
1788345278000,59.948888,30.365413,33.189,0.000,0.000,20.573
1788345277482,59.948871,30.365408,23.900,0.000,0.000,16.281
1788345279000,59.948888,30.365413,33.155,0.000,0.000,16.864
1788345280000,59.948887,30.365413,33.100,0.000,0.000,19.061
1788345281000,59.948887,30.365413,33.131,0.000,0.000,20.336
1788345282000,59.948887,30.365413,33.138,0.000,0.000,22.280
1788345283000,59.948887,30.365413,33.143,0.000,0.000,23.490
1788345284000,59.948887,30.365413,33.139,0.000,0.000,25.317
1788345285000,59.948888,30.365414,33.149,0.000,0.000,23.904
1788345286000,59.948888,30.365414,33.120,0.000,0.000,25.337
1788345287000,59.948888,30.365414,33.163,0.000,0.000,25.431
1788345288000,59.948888,30.365414,33.177,0.000,0.000,22.787
1788345289000,59.948888,30.365414,33.181,0.000,0.000,19.601
1788345288640,59.948875,30.365415,24.200,0.000,0.000,16.245
1788345290000,59.948887,30.365414,33.143,0.000,0.000,14.506
1788345291000,59.948887,30.365414,33.115,0.000,0.000,14.059
1788345292000,59.948887,30.365414,33.093,0.000,0.000,13.782
1788345293000,59.948887,30.365414,33.080,0.000,0.000,13.539
1788345294000,59.948887,30.365414,33.029,0.000,0.000,13.902
1788345295000,59.948887,30.365414,33.033,0.000,0.000,14.714
1788345296000,59.948887,30.365413,32.974,0.000,0.000,13.446
1788345297000,59.948887,30.365413,32.965,0.000,0.000,14.119
1788345298000,59.948887,30.365413,32.952,0.000,0.000,14.226
1788345299000,59.948887,30.365413,32.944,0.000,0.000,14.676
1788345300000,59.948887,30.365413,32.937,0.000,0.000,14.684
1788345301000,59.948886,30.365413,32.796,0.000,0.000,14.851
1788345302000,59.948886,30.365413,32.800,0.000,0.000,13.466
1788345303000,59.948886,30.365413,32.795,0.000,0.000,13.431
1788345304000,59.948886,30.365413,32.784,0.000,0.000,13.461
1788345305000,59.948886,30.365413,32.760,0.000,0.000,12.530
1788345306000,59.948886,30.365413,32.760,0.000,0.000,12.525
1788345307000,59.948886,30.365412,32.657,0.000,0.000,11.861
1788345308000,59.948886,30.365412,32.640,0.000,0.000,12.220
1788345309000,59.948886,30.365412,32.589,0.000,0.000,12.397
1788345310000,59.948886,30.365412,32.615,0.000,0.000,13.200
1788345311000,59.948886,30.365412,32.586,0.000,0.000,14.213
1788345312000,59.948886,30.365412,32.576,0.000,0.000,15.369
1788345313000,59.948885,30.365412,32.507,0.000,0.000,13.783
1788345314000,59.948885,30.365412,32.521,0.000,0.000,14.215
1788345315000,59.948885,30.365412,32.479,0.000,0.000,14.903
1788345316000,59.948885,30.365412,32.952,0.000,0.000,14.633
1788345317000,59.948885,30.365412,32.927,0.000,0.000,14.887
1788345318000,59.948885,30.365412,32.874,0.000,0.000,13.014
1788345319000,59.948885,30.365412,32.874,0.000,0.000,13.404
1788345320000,59.948885,30.365412,32.866,0.000,0.000,13.820
1788345321000,59.948885,30.365412,33.051,0.000,0.000,14.076
1788345322000,59.948885,30.365412,33.051,0.000,0.000,14.716
1788345323000,59.948885,30.365412,35.497,0.000,0.000,14.421
1788345324000,59.948885,30.365413,36.658,0.000,0.000,13.370
1788345325000,59.948885,30.365413,36.633,0.000,0.000,13.535
1788345326000,59.948885,30.365413,37.818,0.000,0.000,13.431
1788345327000,59.948885,30.365413,38.130,0.000,0.000,13.246
