t,mode,x,y,z,h,e,r,gate,drive,effective_input
0.0,white_dew,0.1,-0.001,-0.10060000000000001,0.010655644684674672,0.34531843910688287,0.0006198300539767636,0.6456563062257954,0.6306560893117117,0.6306560893117117
0.01,white_dew,0.09999000000000001,-0.002006,-0.1011808973079066,0.021349965880859467,0.34068412006885324,0.0012362248317288028,0.639203927132372,0.6261659818476186,0.6261659818476186
0.02,white_dew,0.09996994000000001,-0.003017808973079066,-0.10174256599987816,0.03208068479181736,0.33609733447237583,0.0018492076854969824,0.6327667626280346,0.6216443536442953,0.6216443536442953
0.03,white_dew,0.09993976191026922,-0.0040352346330778475,-0.10228488738613156,0.042845529774052066,0.3315583442607162,0.0024588043145800016,0.6263486465520479,0.617094154442349,0.617094154442349
0.04,white_dew,0.09989940956393845,-0.005058083506939163,-0.10280775007474799,0.053642237611765155,0.32706738139340147,0.0030650426596564983,0.619953312451823,0.6125183695184359,0.6125183695184359
0.05,white_dew,0.09984882872886905,-0.006086161007686643,-0.1033110500226494,0.06446855469528487,0.32262464760551957,0.003667952791212065,0.6135843849569437,0.6079200097185228,0.6079200097185228
0.06,white_dew,0.09978796711879218,-0.007119271507913137,-0.10379469057369492,0.07532223810324554,0.3182303142667484,0.004267566792820027,0.6072453719205397,0.6033021014968388,0.6033021014968388
0.07,white_dew,0.09971677440371304,-0.008157218413650085,-0.10425858248389737,0.08620105658904903,0.3138845223392585,0.004863918640040214,0.6009396573539961,0.5986676770356517,0.5986676770356517
0.08,white_dew,0.09963520221957654,-0.009199804238489059,-0.10470264393380929,0.09710279147286525,0.30958738243290523,0.005457044075707502,0.5946704951726414,0.5940197645183652,0.5940197645183652
0.09,white_dew,0.09954320417719165,-0.010246830677827152,-0.10512680052817627,0.10802523744111804,0.30533897495544,0.006046980482381847,0.5884410037618847,0.5893613786248816,0.5893613786248816
0.1,white_dew,0.09944073587041337,-0.011298098683108914,-0.10553098528300159,0.11896620325604766,0.30113935035482425,0.006633766752724134,0.5822541613653766,0.5846955113137999,0.5846955113137999
0.11,white_dew,0.09932775488358228,-0.01235340853593893,-0.1059151386002111,0.12992351237853533,0.2969885294501371,0.007217443158548011,0.5761128022892823,0.5800251229509743,0.5800251229509743
0.12,white_dew,0.09920422079822289,-0.013412559921941042,-0.10627920823014946,0.1408950035079113,0.2928865038470293,0.007798051219277247,0.5700196139097334,0.5753531338382748,0.5753531338382748
0.13,white_dew,0.09907009519900348,-0.014475352004242537,-0.10662314922217923,0.1518785310429435,0.28883323643320286,0.00837563357051183,0.5639771344640643,0.570682416190292,0.570682416190292
0.14,white_dew,0.09892534167896105,-0.01554158349646433,-0.10694692386369219,0.16287196546861343,0.2848286619489837,0.008950233833374493,0.5579877516005972,0.5660157866002572,0.5660157866002572
0.15,white_dew,0.09876992584399641,-0.016611052735101252,-0.10725050160787705,0.1738731936736286,0.28087268762771145,0.00952189648527334,0.5520537016565495,0.561355999029775,0.561355999029775
0.16,white_dew,0.0986038153166454,-0.017683557751180023,-0.10753385899062097,0.18488011920389577,0.2769651939003956,0.010090666732676343,0.5461770696291375,0.5567057383502015,0.5567057383502015
0.17,white_dew,0.0984269797391336,-0.018758896341086233,-0.1077969795369515,0.19589066245738632,0.2731060351588778,0.010656590386450561,0.5403597898011532,0.5520676144567542,0.5520676144567542
0.18,white_dew,0.09823939077572273,-0.019836866136455748,-0.108039853657453,0.20690276082596565,0.2692950405716001,0.011219713740273453,0.5346036469791993,0.5474441569698315,0.5474441569698315
0.19,white_dew,0.09804102211435818,-0.02091726467303028,-0.10826247853511589,0.217914368789835,0.265532014945998,0.011780083452576412,0.5289102783003597,0.542837810531628,0.542837810531628
